id,group_id,module_name,sub_page,can_add,can_edit,can_delete,can_view,created_date,updated_date
254,7,Demand Planning,Target Setting,False,False,False,True,2025-07-28 07:41:20.723738,2025-07-28 07:41:20.669814
255,7,Demand Planning,Demand Tweaking,False,False,False,True,2025-07-28 07:41:20.764095,2025-07-28 07:41:20.669814
256,7,Demand Planning,Editable Plan View,False,False,False,True,2025-07-28 07:41:20.797790,2025-07-28 07:41:20.669814
257,7,Supply Planning,Talent Management,False,False,False,True,2025-07-28 07:41:20.828780,2025-07-28 07:41:20.669814
258,7,Supply Planning,Pipeline Configuration,False,False,False,True,2025-07-28 07:41:20.859505,2025-07-28 07:41:20.669814
259,7,Supply Planning,Supply Management,False,False,False,True,2025-07-28 07:41:20.890223,2025-07-28 07:41:20.669814
260,7,Supply Planning,Supply pipeline management,False,False,False,True,2025-07-28 07:41:20.920920,2025-07-28 07:41:20.669814
261,7,Demand - Supply Mapping,Add New Mapping,False,False,False,True,2025-07-28 07:41:20.952501,2025-07-28 07:41:20.669814
262,7,Demand - Supply Mapping,View Mappings,False,False,False,True,2025-07-28 07:41:20.983838,2025-07-28 07:41:20.669814
263,7,Insights & Reporting,Analytics Dashboard,True,True,True,True,2025-07-28 07:41:21.014321,2025-07-28 07:41:20.669814
264,7,Insights & Reporting,Export Functions,True,True,True,True,2025-07-28 07:41:21.044839,2025-07-28 07:41:20.669814
265,7,Settings,User Management,True,True,True,True,2025-07-28 07:41:21.076513,2025-07-28 07:41:20.669814
266,7,Settings,Roles & Role Groups,True,True,True,True,2025-07-28 07:41:21.107089,2025-07-28 07:41:20.669814
267,7,Settings,Database Status,True,True,True,True,2025-07-28 07:41:21.137760,2025-07-28 07:41:20.669814
268,7,Settings,Application Settings,True,True,True,True,2025-07-28 07:41:21.168944,2025-07-28 07:41:20.669814
269,7,Settings,Export Settings,True,True,True,True,2025-07-28 07:41:21.200723,2025-07-28 07:41:20.669814
270,7,Settings,Environment,True,True,True,True,2025-07-28 07:41:21.231683,2025-07-28 07:41:20.669814
271,4,Demand Planning,Target Setting,False,False,False,False,2025-07-29 05:45:47.320571,2025-07-29 05:45:47.263146
272,4,Demand Planning,Demand Tweaking,False,False,False,False,2025-07-29 05:45:47.366169,2025-07-29 05:45:47.263146
273,4,Demand Planning,Editable Plan View,False,False,False,False,2025-07-29 05:45:47.396184,2025-07-29 05:45:47.263146
274,4,Supply Planning,Talent Management,True,True,True,True,2025-07-29 05:45:47.432162,2025-07-29 05:45:47.263146
275,4,Supply Planning,Pipeline Configuration,True,True,True,True,2025-07-29 05:45:47.462015,2025-07-29 05:45:47.263146
276,4,Supply Planning,Supply Management,True,True,True,True,2025-07-29 05:45:47.491820,2025-07-29 05:45:47.263146
277,4,Supply Planning,Supply pipeline management,True,True,True,True,2025-07-29 05:45:47.521577,2025-07-29 05:45:47.263146
278,4,Demand - Supply Mapping,Add New Mapping,True,True,True,True,2025-07-29 05:45:47.551260,2025-07-29 05:45:47.263146
279,4,Demand - Supply Mapping,View Mappings,True,True,True,True,2025-07-29 05:45:47.581090,2025-07-29 05:45:47.263146
280,4,Insights & Reporting,Analytics Dashboard,False,False,False,True,2025-07-29 05:45:47.611004,2025-07-29 05:45:47.263146
281,4,Insights & Reporting,Export Functions,False,False,False,True,2025-07-29 05:45:47.640533,2025-07-29 05:45:47.263146
282,4,Settings,User Management,True,True,False,True,2025-07-29 05:45:47.670055,2025-07-29 05:45:47.263146
283,4,Settings,Roles & Role Groups,False,True,False,True,2025-07-29 05:45:47.699510,2025-07-29 05:45:47.263146
284,4,Settings,Database Status,False,False,False,False,2025-07-29 05:45:47.729133,2025-07-29 05:45:47.263146
285,4,Settings,Application Settings,False,False,False,False,2025-07-29 05:45:47.760848,2025-07-29 05:45:47.263146
286,4,Settings,Export Settings,False,False,False,False,2025-07-29 05:45:47.790546,2025-07-29 05:45:47.263146
287,4,Settings,Environment,False,False,False,False,2025-07-29 05:45:47.819983,2025-07-29 05:45:47.263146
140,3,Demand Planning,Target Setting,True,True,True,True,2025-07-21 04:04:52.485516,2025-07-21 04:04:52.459263
141,3,Demand Planning,Demand Tweaking,True,True,True,True,2025-07-21 04:04:52.513522,2025-07-21 04:04:52.459263
142,3,Demand Planning,Editable Plan View,False,False,False,False,2025-07-21 04:04:52.533128,2025-07-21 04:04:52.459263
143,3,Supply Planning,Talent Management,False,False,False,False,2025-07-21 04:04:52.552707,2025-07-21 04:04:52.459263
144,3,Supply Planning,Pipeline Configuration,False,False,False,False,2025-07-21 04:04:52.572275,2025-07-21 04:04:52.459263
145,3,Supply Planning,Staffing Plans,False,False,False,False,2025-07-21 04:04:52.591759,2025-07-21 04:04:52.459263
146,3,Demand - Supply Mapping,Add New Mapping,False,False,False,False,2025-07-21 04:04:52.611147,2025-07-21 04:04:52.459263
147,3,Demand - Supply Mapping,View Mappings,False,False,False,True,2025-07-21 04:04:52.630937,2025-07-21 04:04:52.459263
148,3,Insights & Reporting,Analytics Dashboard,False,False,False,True,2025-07-21 04:04:52.651564,2025-07-21 04:04:52.459263
149,3,Insights & Reporting,Export Functions,False,False,False,True,2025-07-21 04:04:52.670980,2025-07-21 04:04:52.459263
150,3,Settings,User Management,False,False,False,False,2025-07-21 04:04:52.690528,2025-07-21 04:04:52.459263
151,3,Settings,Roles & Role Groups,False,False,False,False,2025-07-21 04:04:52.709801,2025-07-21 04:04:52.459263
152,3,Settings,Database Status,False,False,False,False,2025-07-21 04:04:52.729147,2025-07-21 04:04:52.459263
153,3,Settings,Application Settings,False,False,False,False,2025-07-21 04:04:52.748364,2025-07-21 04:04:52.459263
154,3,Settings,Export Settings,False,False,False,False,2025-07-21 04:04:52.767748,2025-07-21 04:04:52.459263
155,3,Settings,Environment,False,False,False,False,2025-07-21 04:04:52.787363,2025-07-21 04:04:52.459263
