id,candidate_id,previous_status,new_status,status_change_date,changed_by,change_source,notes,cycle_time_days,created_at
923,1233,Duplicate Profile,Dropped,2025-08-08 07:55:14.547510,system,manual,,0,2025-08-08 07:55:14.547510
924,1322,Duplicate Profile,Dropped,2025-08-08 07:55:14.547510,system,manual,,0,2025-08-08 07:55:14.547510
925,1345,Duplicate Profile,Dropped,2025-08-08 07:55:14.547510,system,manual,,0,2025-08-08 07:55:14.547510
926,1362,Duplicate Profile,Dropped,2025-08-08 07:55:14.547510,system,manual,,0,2025-08-08 07:55:14.547510
927,1411,Duplicate Profile,Dropped,2025-08-08 07:55:14.547510,system,manual,,0,2025-08-08 07:55:14.547510
928,1502,Duplicate Profile,Dropped,2025-08-08 07:55:14.547510,system,manual,,0,2025-08-08 07:55:14.547510
929,1217,Internal Dropped,Dropped,2025-08-08 07:57:01.230166,system,manual,,0,2025-08-08 07:57:01.230166
930,1227,Internal Dropped,Dropped,2025-08-08 07:57:01.230166,system,manual,,0,2025-08-08 07:57:01.230166
931,1363,Internal Dropped,Dropped,2025-08-08 07:57:01.230166,system,manual,,0,2025-08-08 07:57:01.230166
932,1372,Internal Dropped,Dropped,2025-08-08 07:57:01.230166,system,manual,,0,2025-08-08 07:57:01.230166
933,1374,Internal Dropped,Dropped,2025-08-08 07:57:01.230166,system,manual,,0,2025-08-08 07:57:01.230166
934,1377,Internal Dropped,Dropped,2025-08-08 07:57:01.230166,system,manual,,0,2025-08-08 07:57:01.230166
935,1387,Internal Dropped,Dropped,2025-08-08 07:57:01.230166,system,manual,,0,2025-08-08 07:57:01.230166
936,1210,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
937,1215,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
938,1230,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
939,1321,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
940,1335,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
941,1342,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
942,1349,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
943,1380,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
944,1389,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
945,1395,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
946,1400,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
947,1401,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
948,1402,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
949,1403,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
950,1404,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
951,1419,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
952,1425,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
953,1426,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
954,1427,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
955,1428,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
956,1429,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
957,1432,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
958,1439,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
959,1440,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
960,1441,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
961,1442,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
962,1443,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
963,1444,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
964,1446,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
965,1449,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
966,1450,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
967,1455,Requirement on hold,On Hold,2025-08-08 07:58:58.482110,system,manual,,0,2025-08-08 07:58:58.482110
968,1245,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
969,1333,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
970,1199,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
971,1202,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
972,1205,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
973,1207,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
974,1213,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
975,1220,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
976,1222,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
977,1225,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
978,1224,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
979,1231,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
980,1235,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
981,1241,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
982,1242,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
983,1243,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
984,1246,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
985,1250,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
986,1251,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
987,1253,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
988,1248,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
989,1258,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
990,1259,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
991,1262,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
992,1272,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
993,1274,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
994,1275,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
995,1276,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
996,1277,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
997,1279,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
998,1280,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
999,1283,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1000,1285,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1001,1291,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1002,1292,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1003,1295,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1004,1300,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
