id,name,region,created_date,updated_date,prospect_type,description,status
1,Gear 1 accounts,All,2025-07-21 12:52:16.139861,2025-07-21 12:55:57.739851,,,Deleted
2,Test Demand Pipeline,India,2025-07-24 06:57:11.864132,2025-07-24 06:57:11.864132,Hunt,,Active
